"local.rt.mean","local.rt.lower","local.rt.upper","date"
1.805111461,1.399467173,2.550054566,"07/11/2020"
2.020297963,1.587407228,2.783246561,"08/11/2020"
2.197939084,1.698436817,3.078340432,"09/11/2020"
2.357731985,1.831106952,3.267906939,"10/11/2020"
2.521772962,1.96806129,3.774581191,"11/11/2020"
2.69097605,2.104393593,4.065450369,"12/11/2020"
2.848768086,2.208354424,4.292551516,"13/11/2020"
2.948295922,2.292331547,4.454678919,"14/11/2020"
3.01490522,2.317524535,4.600537615,"15/11/2020"
3.014702152,2.34842164,4.580981876,"16/11/2020"
2.983539385,2.331207433,4.554008323,"17/11/2020"
2.920829239,2.216993143,4.821394281,"18/11/2020"
2.734397606,2.109860129,4.545293284,"19/11/2020"
2.563234783,1.969670238,4.183523595,"20/11/2020"
2.345651423,1.817773283,3.816274985,"21/11/2020"
2.128398428,1.668177679,3.444467893,"22/11/2020"
1.928153684,1.532456042,2.988161778,"23/11/2020"
1.732384304,1.414777919,2.618366901,"24/11/2020"
1.582592708,1.319107008,2.144255775,"25/11/2020"
1.450635115,1.231542514,1.899912582,"26/11/2020"
1.350180502,1.165509972,1.74720008,"27/11/2020"
1.265595096,1.114401908,1.598740751,"28/11/2020"
1.197345446,1.067398493,1.47709821,"29/11/2020"
1.142558944,1.028260817,1.37492346,"30/11/2020"
1.09582334,0.993892671,1.287749594,"01/12/2020"
1.059314076,0.967626923,1.212287812,"02/12/2020"
1.030666758,0.953183004,1.160449061,"03/12/2020"
0.999216934,0.931857639,1.108799611,"04/12/2020"
0.970778621,0.911173481,1.071198889,"05/12/2020"
0.947911653,0.888209349,1.032371961,"06/12/2020"
0.928375005,0.870441524,0.999664356,"07/12/2020"
0.91215498,0.85506139,0.972290808,"08/12/2020"
0.898528223,0.851129541,0.947660574,"09/12/2020"
0.886990375,0.830940633,0.936269513,"10/12/2020"
0.871756959,0.820814552,0.919890236,"11/12/2020"
0.856553488,0.801710201,0.913167401,"12/12/2020"
0.839808914,0.791757759,0.892057049,"13/12/2020"
0.831529066,0.766068141,0.87957858,"14/12/2020"
0.817870404,0.75474709,0.866595321,"15/12/2020"
0.798483606,0.737843781,0.852214266,"16/12/2020"
0.793673616,0.726060377,0.849644582,"17/12/2020"
0.774544782,0.712152007,0.837884525,"18/12/2020"
0.770066916,0.70497193,0.836178274,"19/12/2020"
0.774064852571395,0.703663084105003,0.848457325863074,"20/12/2020"
0.780399503769614,0.687917684396261,0.850381124243989,"21/12/2020"
0.774136512727741,0.690466460994463,0.84472593650817,"22/12/2020"
0.770290153631685,0.676220736982985,0.854346795034711,"23/12/2020"
0.775230462048266,0.679121064987438,0.845981063849695,"24/12/2020"
0.75966669180735,0.688511690855543,0.833363958645639,"25/12/2020"
0.749450870276986,0.644015266484063,0.820937492181892,"26/12/2020"
0.73675350560483,0.656558811940568,0.807874481059675,"27/12/2020"
0.716024435523639,0.625297731537691,0.784733768083195,"28/12/2020"
0.710792578762688,0.63700792141737,0.784080151248655,"29/12/2020"
0.725242088981795,0.626680912387434,0.788845036614976,"30/12/2020"
0.740835849231959,0.644300069451996,0.816673578786722,"31/12/2020"
0.757816567816752,0.657563166063935,0.853058354575259,"01/01/2021"
0.787648972650134,0.672037503798236,0.892187351787029,"02/01/2021"
0.842470614794576,0.717503174236154,0.932186706360228,"03/01/2021"
0.888673477121052,0.797914438301852,0.992776412281649,"04/01/2021"
0.943438721338338,0.823850863742389,1.04165162407946,"05/01/2021"
0.994575649067824,0.875517500731063,1.07124559416296,"06/01/2021"
1.05401087240339,0.948620830652168,1.15541683372971,"07/01/2021"
1.12913894486754,1.01751597941705,1.23373196580909,"08/01/2021"
1.18031861712732,1.10103930848282,1.31485394779873,"09/01/2021"
1.24941937869168,1.15592509664685,1.36204880545541,"10/01/2021"
1.2965589127389,1.22585559762585,1.40286561680019,"11/01/2021"
1.34194713306545,1.25729139420854,1.4754398771263,"12/01/2021"
1.34029055953473,1.26228838280478,1.47424192154715,"13/01/2021"
1.34968626211497,1.21361281439501,1.48931858773379,"14/01/2021"
1.31524007365643,1.17644979825188,1.43042176438746,"15/01/2021"
1.25795213197843,1.14587947545927,1.38529770809721,"16/01/2021"
1.21947506909483,1.0985251719769,1.38889533337677,"17/01/2021"
1.12824149137645,1.03141354411978,1.24797479662107,"18/01/2021"
1.05981457149505,0.978526282861903,1.18318371062362,"19/01/2021"
0.988681263791982,0.90231847547218,1.10061560340102,"20/01/2021"
0.908353554729668,0.829133414685685,1.02292211543455,"21/01/2021"
0.827938680719765,0.768347933684243,0.926351187164761,"22/01/2021"
0.767223980317636,0.70706251602298,0.85731424323271,"23/01/2021"
0.71675758767755,0.649770984221423,0.764756976709009,"24/01/2021"
0.659710593218393,0.597729248055952,0.719387935208956,"25/01/2021"
0.614806834698697,0.554360230918468,0.674099491292634,"26/01/2021"
0.578795888184869,0.512486487592999,0.638656865924661,"27/01/2021"
0.554599174353612,0.487890198981059,0.632606741808174,"28/01/2021"
0.553691450377362,0.477111384666942,0.631162069922119,"29/01/2021"
0.55396723860521,0.466668643200051,0.646666117129674,"30/01/2021"
0.564724274421722,0.481726275968099,0.678334910048834,"31/01/2021"
0.591148140228537,0.489776367521099,0.701146090461074,"01/02/2021"
0.61291160635703,0.500579904914735,0.739317671624847,"02/02/2021"
0.597262164936647,0.493598008354464,0.725450963884933,"03/02/2021"
0.614804673182936,0.481429638275301,0.748089839371339,"04/02/2021"
